Name;id;brewery_id;cat_id;style_id;Alcohol By Volume;International Bitterness Units;Standard Reference Method;Universal Product Code;filepath;Description;add_user;last_mod;Style;Category;Brewer;Address;City;State;Country;Coordinates;Website;;;;;;;;;;;
West Bank Pub Ale;1175;869;1;1;4;599999905;0;0;0;;"Most welcoming British pubs off a house ale or ""pub ale"" ��� this is ours. We use only the finest English barley, hops and yeast to create this classic English-style pale ale. It is noted for its nice malt flavor balanced with a medium hop presence. The pub ale is often referred to as our house ""session beer"" (a beer you can drink a number of and not fall off your barstool).";0;2010-07-22 22:00:00+02:00;Classic English-Style Pale Ale;British Ale;Minneapolis Town Hall Brewery;1430 Washington Avenue South;Minneapolis;Minnesota;United States;44.9732; -93.2479;http://www.townhallbrewery.com/;;;;;;;;;
Bright Spot Golden Ale;1176;869;3;37;4;5;0;0;0;;This American-style golden ale is our lightest; in both color and flavor. Bright Spot is brewed with locally malted 2-row barley and the finest American; Czech and German hops lending a well-balanced; refreshing taste. A compliment to nearly any of our menu choices.;0;2010-07-22 22:00:00+02:00;Golden or Blonde Ale;North American Ale;Minneapolis Town Hall Brewery;1430 Washington Avenue South;Minneapolis;Minnesota;United States;44.9732; -93.2479;http://www.townhallbrewery.com/;;;;;;
High Point Dunkel;1177;653;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Herkimer Pub & Brewery;2922 Lyndale Avenue South;Minneapolis;Minnesota;United States;44.9491; -93.2885;;;;;;;;;;;
Kolsch;1178;653;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Herkimer Pub & Brewery;2922 Lyndale Avenue South;Minneapolis;Minnesota;United States;44.9491; -93.2885;;;;;;;;;;;
India Pale Ale;1179;610;3;26;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Green Mill Brewing - Saint Paul;57 Hamline Avenue South;Saint Paul;Minnesota;United States;44.9398; -93.1568;;;;;;;;;;;
Triple Dipsea Belgian;118;827;-1;-1;9;199999809;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Marin Brewing;1809 Larkspur Landing Circle;Larkspur Landing;California;United States;37.9479; -122.511;;;;;;;;;;
Tusker Premium Lager;1180;738;8;95;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Lager;North American Lager;Kenya Breweries;PO Box 30161;Nairobi;;Kenya;-1.2833; 36.8167;;;;;;;;;;;
Big Island Porter;1181;610;2;25;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;Porter;Irish Ale;Green Mill Brewing - Saint Paul;57 Hamline Avenue South;Saint Paul;Minnesota;United States;44.9398; -93.1568;;;;;;;;;;;
Knockadoon Irish Ale;1182;610;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Green Mill Brewing - Saint Paul;57 Hamline Avenue South;Saint Paul;Minnesota;United States;44.9398; -93.1568;;;;;;;;;;;
Grand Marais Pale Ale;1183;610;3;26;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Green Mill Brewing - Saint Paul;57 Hamline Avenue South;Saint Paul;Minnesota;United States;44.9398; -93.1568;;;;;;;;;;;
Kabeelo Lodge Lager;1184;610;8;95;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Lager;North American Lager;Green Mill Brewing - Saint Paul;57 Hamline Avenue South;Saint Paul;Minnesota;United States;44.9398; -93.1568;;;;;;;;;;;
Gunflint Gold Ale;1185;610;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Green Mill Brewing - Saint Paul;57 Hamline Avenue South;Saint Paul;Minnesota;United States;44.9398; -93.1568;;;;;;;;;;;
Amber Bock;1186;925;7;90;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;Traditional German-Style Bock;German Lager;O'Gara's Bar & Grill;146 Snelling Avenue North;Saint Paul;Minnesota;United States;44.9458; -93.167;;;;;;;;;;;
Cork Brown Ale;1187;925;2;25;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;Porter;Irish Ale;O'Gara's Bar & Grill;146 Snelling Avenue North;Saint Paul;Minnesota;United States;44.9458; -93.167;;;;;;;;;;;
Sligo Red;1188;925;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;O'Gara's Bar & Grill;146 Snelling Avenue North;Saint Paul;Minnesota;United States;44.9458; -93.167;;;;;;;;;;;
Light Amber Ale;1189;925;3;33;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Amber/Red Ale;North American Ale;O'Gara's Bar & Grill;146 Snelling Avenue North;Saint Paul;Minnesota;United States;44.9458; -93.167;;;;;;;;;;;
Oktoberfest Weizen;119;1019;-1;-1;5;699999809;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Privatbrauerei Erdinger Weissbru;Franz-Brombach-Strae 1-20;Erding;Bayern;Germany;48.3153; 11.8911;;;;;;;;;;
Honey Brown;1190;925;8;95;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Lager;North American Lager;O'Gara's Bar & Grill;146 Snelling Avenue North;Saint Paul;Minnesota;United States;44.9458; -93.167;;;;;;;;;;;
Irish Gold;1191;925;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;O'Gara's Bar & Grill;146 Snelling Avenue North;Saint Paul;Minnesota;United States;44.9458; -93.167;;;;;;;;;;;
Maibock;1192;1191;7;90;7;199999809;0;0;0;;;0;2010-07-22 22:00:00+02:00;Traditional German-Style Bock;German Lager;Staatliches Hofbr�_uhaus in M�_nchen;Hofbr�_uallee 1;M�_nchen;Bayern;Germany;;;;;;;;;;;;
Malheur Black Chocolate 2003;1193;276;-1;-1;12;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brouwerij De Landtsheer;Mandekenstraat 179;Buggenhout;Oost-Vlaanderen;Belgium;51.0228; 4.1572;;;;;;;;;;;
Hahn Special Vintage 2000;1194;793;1;13;8;0;0;0;;;0;2010-07-22 22:00:00+02:00;Old Ale;British Ale;Lion Nathan Australia  Hunter Street;Level 15; 20 Hunter Street;Sydney;New South Wales;Australia;-33.8687; 151.217;;;;;;;;;;
Samuel Adams Chocolate Bock;1195;157;7;90;5;5;0;0;0;;;0;2010-07-22 22:00:00+02:00;Traditional German-Style Bock;German Lager;Boston Beer Company;30 Germania Street;Boston;Massachusetts;United States;42.3144; -71.1034;http://www.samueladams.com/;;;;;;;;;
2004 Symposium Ale;1196;1204;-1;-1;7;5;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Stone Brewing Co.;1999 Citracado Parkway;Escondido;California;United States;33.1157; -117.12;http://www.stonebrew.com/;;;;;;;;;
Benchmark Old Ale;1197;1012;1;13;9;899999619;0;0;0;;;0;2010-07-22 22:00:00+02:00;Old Ale;British Ale;Portland Brewing;2730 NW 31st Avenue;Portland;Oregon;United States;45.5415; -122.713;;;;;;;;;;
Czar Imperial Stout;1198;62;3;42;11;89999962;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Stout;North American Ale;Avery Brewing Company;5763 Arapahoe Avenue;Boulder;Colorado;United States;40.0166; -105.219;http://www.averybrewing.com/;;;;;;;;;
Guinness Foreign Extra;1199;442;3;42;6;5;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Stout;North American Ale;Desnoes & Geddes Ltd;214 Spanish Town;Kingston;;Jamaica;33.9858; -96.6515;;;;;;;;;;
JuJu Ginger;12;779;-1;-1;4;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Left Hand Brewing Company;1265 Boston Avenue;Longmont;Colorado;United States;40.1587; -105.113;http://www.lefthandbrewing.com/;;;;;;;;;;
Imperial Hefeweizen;120;1029;-1;-1;7;5;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Pyramid Alehouse; Brewery and Restaurant - Berkeley;901 Gilman Street;Berkeley;California;United States;37.8806; -122.3;;;;;;;;;
Imperial Hefeweizen;120;1029;-1;-1;7;5;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Pyramid Alehouse; Brewery and Restaurant - Berkeley;901 Gilman Street;Berkeley;California;United States;47.5917; -122.335;;;;;;;;;
Dragonhead Stout;1200;953;3;42;4;0;0;0;;Dragonhead is a legendary stout: dark; intense and fully-flavoured; it is our tribute to the Vikings and their cultural legacy in Orkney.   On the nose; this black stout has a smooth roasted malt aroma giving bitter chocolate; dark roasted coffee and Smokey notes balanced by hints of spicy Goldings hop.   On the palate; the dark roasted malts combine to give a rich; rounded palate with chocolate; toast and nut flavours; with a satisfying spicy hop finish.;0;2010-07-22 22:00:00+02:00;American-Style Stout;North American Ale;Orkney Brewery;Quoyloo;Orkney;Scotland;United Kingdom;59.0697; -3.3135;http://www.orkneybrewery.co.uk/;;
Dundee Porter;1201;584;2;25;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;Porter;Irish Ale;Golden Valley Brewery and Pub;980 NE Fourth Street;McMinnville;Oregon;United States;45.2104; -123.189;http://www.goldenvalleybrewery.com/;;;;;;;;;;
Lava Rock Porter;1202;447;2;25;7;0;0;0;;;0;2010-07-22 22:00:00+02:00;Porter;Irish Ale;Dick's Brewing;5945 Prather Road;Centralia;Washington;United States;46.7713; -123.007;;;;;;;;;;;
Three Threads Porter;1203;513;2;25;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;Porter;Irish Ale;Far West Ireland Brewing;;Redmond;Washington;United States;47.6701; -122.118;;;;;;;;;;;
Tmav̩ 10% / Dark Beer;1204;991;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Pivovar Klter Hradit;CZ-294 15 Klter Hradit nad Jizerou;Klter Hradit nad Jizerou;;Czech Republic;;;;;;;;;;;;;
Porter;1205;662;7;86;5;800000191;0;0;0;;;0;2010-07-22 22:00:00+02:00;German-Style Schwarzbier;German Lager;Hoepfner Privatbrauerei;Haid-und-Neu-Strae 18;Karlsruhe;Baden-Wrttemberg;Germany;49.0125; 8.4264;;;;;;;;;;
Auburn Ale;1206;334;3;33;5;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Amber/Red Ale;North American Ale;Cameron's Brewing;1165 Invicta Drive;Oakville;Ontario;Canada;43.4745; -79.6775;;;;;;;;;;;
Strong Ox;1207;896;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Mussel Inn;Onekaka;Takaka;;New Zealand;-40.7658; 172.705;;;;;;;;;;;
Old 95;1208;498;1;13;7;0;0;0;;;0;2010-07-22 22:00:00+02:00;Old Ale;British Ale;Emerson Brewing;14 Wickliffe Street;Dunedin;;New Zealand;-45.872; 170.518;;;;;;;;;;;
Taieri George;1209;498;-1;-1;6;800000191;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Emerson Brewing;14 Wickliffe Street;Dunedin;;New Zealand;-45.872; 170.518;;;;;;;;;;
Triple Exultation Old Ale;121;481;1;13;9;699999809;0;0;0;;;0;2010-07-22 22:00:00+02:00;Old Ale;British Ale;Eel River Brewing;1777 Alamar Way;Fortuna;California;United States;40.5793; -124.153;http://eelriverbrewing.com/;;;;;;;;;
Maibock;1210;588;7;90;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;Traditional German-Style Bock;German Lager;Gordon Biersch Brewing;357 East Taylor Street;San Jose;California;United States;37.3526; -121.893;http://www.gordonbiersch.com/brewery;;;;;;;;;;
Dunkles;1211;588;-1;-1;5;99999905;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Gordon Biersch Brewing;357 East Taylor Street;San Jose;California;United States;37.3526; -121.893;http://www.gordonbiersch.com/brewery;;;;;;;;;
Golden Export;1212;588;-1;-1;5;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Gordon Biersch Brewing;357 East Taylor Street;San Jose;California;United States;37.3526; -121.893;http://www.gordonbiersch.com/brewery;;;;;;;;;;
Premium Light Lager;1213;588;8;95;4;5;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Lager;North American Lager;Gordon Biersch Brewing;357 East Taylor Street;San Jose;California;United States;37.3526; -121.893;http://www.gordonbiersch.com/brewery;;;;;;;;;
Hop Maniac IPA;1214;945;3;31;6;5;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style India Pale Ale;North American Ale;On Tap Bistro & Brewery;;San Diego;California;United States;32.7153; -117.157;;;;;;;;;;
Golden Triangle Triple;1215;945;-1;-1;8;5;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;On Tap Bistro & Brewery;;San Diego;California;United States;32.7153; -117.157;;;;;;;;;;
Belgian Double;1216;945;-1;-1;7;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;On Tap Bistro & Brewery;;San Diego;California;United States;32.7153; -117.157;;;;;;;;;;;
Steamroller Stout;1217;945;3;42;6;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Stout;North American Ale;On Tap Bistro & Brewery;;San Diego;California;United States;32.7153; -117.157;;;;;;;;;;;
Hazy Daze Hefeweizen;1218;945;4;50;5;5;0;0;0;;;0;2010-07-22 22:00:00+02:00;South German-Style Hefeweizen;German Ale;On Tap Bistro & Brewery;;San Diego;California;United States;32.7153; -117.157;;;;;;;;;;
Patriot Pale Ale;1219;945;3;26;5;199999809;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;On Tap Bistro & Brewery;;San Diego;California;United States;32.7153; -117.157;;;;;;;;;;
Organic Gingerbread Ale;122;130;-1;-1;6;800000191;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Bison Brewing;2598 Telegraph Avenue;Berkeley;California;United States;37.8634; -122.259;;;;;;;;;;
Alt-Er-Ego Amber;1220;945;3;38;5;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Brown Ale;North American Ale;On Tap Bistro & Brewery;;San Diego;California;United States;32.7153; -117.157;;;;;;;;;;;
Horny Devil;1221;21;-1;-1;10;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;AleSmith Brewing;9368 Cabot Drive;San Diego;California;United States;32.892; -117.144;http://alesmith.com/;;;;;;;;;;
Old Numbskull 2003;1222;21;-1;-1;10;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;AleSmith Brewing;9368 Cabot Drive;San Diego;California;United States;32.892; -117.144;http://alesmith.com/;;;;;;;;;;
Come About Imperial Stout;1223;68;3;43;9;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Imperial Stout;North American Ale;Ballast Point Brewing;5401 Linda Vista Road #406;San Diego;California;United States;32.7668; -117.195;http://www.ballastpoint.com/;;;;;;;;;;
Navigator Doppelbock;1224;68;7;92;8;899999619;0;0;0;;;0;2010-07-22 22:00:00+02:00;German-Style Doppelbock;German Lager;Ballast Point Brewing;5401 Linda Vista Road #406;San Diego;California;United States;32.7668; -117.195;http://www.ballastpoint.com/;;;;;;;;;
Vertical Epic 04.04.04;1225;1204;-1;-1;8;5;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Stone Brewing Co.;1999 Citracado Parkway;Escondido;California;United States;33.1157; -117.12;http://www.stonebrew.com/;;;;;;;;;
First Anniversary Ale;1226;609;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Green Flash Brewing;1430 Vantage Court #104A;Vista;California;United States;33.136; -117.225;http://www.greenflashbrew.com;;;;;;;;;;
Nut Brown;1227;1238;3;38;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Brown Ale;North American Ale;Taylor's Restaurant and Brewery;;San Diego;California;United States;32.7153; -117.157;;;;;;;;;;;
Amber Ale;1228;1238;3;33;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Amber/Red Ale;North American Ale;Taylor's Restaurant and Brewery;;San Diego;California;United States;32.7153; -117.157;;;;;;;;;;;
Pale Ale;1229;1238;3;26;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Taylor's Restaurant and Brewery;;San Diego;California;United States;32.7153; -117.157;;;;;;;;;;;
Falcon Pale Ale;123;1064;3;26;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Rock Bottom Restaurant & Brewery - Denver;1001 16th Street #A-100;Denver;Colorado;United States;39.7472; -104.995;;;;;;;;;;;
Hefeweizen;1230;1238;4;55;7;5;0;0;0;;;0;2010-07-22 22:00:00+02:00;South German-Style Weizenbock;German Ale;Taylor's Restaurant and Brewery;;San Diego;California;United States;32.7153; -117.157;;;;;;;;;;
India Pale Ale;1231;759;3;26;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;La Jolla Brew House;7536 Fay Avenue;La Jolla;California;United States;32.8409; -117.274;;;;;;;;;;;
Pale Ale;1232;759;3;26;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;La Jolla Brew House;7536 Fay Avenue;La Jolla;California;United States;32.8409; -117.274;;;;;;;;;;;
Amber;1233;759;3;33;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Amber/Red Ale;North American Ale;La Jolla Brew House;7536 Fay Avenue;La Jolla;California;United States;32.8409; -117.274;;;;;;;;;;;
Stout;1234;759;3;42;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Stout;North American Ale;La Jolla Brew House;7536 Fay Avenue;La Jolla;California;United States;32.8409; -117.274;;;;;;;;;;;
Pilsner;1235;759;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;La Jolla Brew House;7536 Fay Avenue;La Jolla;California;United States;32.8409; -117.274;;;;;;;;;;;
Wheat;1236;759;4;50;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;South German-Style Hefeweizen;German Ale;La Jolla Brew House;7536 Fay Avenue;La Jolla;California;United States;32.8409; -117.274;;;;;;;;;;;
Fire Rock Pale Ale;1237;751;3;26;5;800000191;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Kona Brewing;75-5629 Kuakini Highway;Kailua-Kona;Hawaii;United States;19.642; -155.996;http://www.konabrewingco.com;;;;;;;;;
Double Barrel Ale;1238;524;3;33;5;0;0;0;;A British Pale Ale never tasted so fresh. We challenge our good friends across the pond to match this one. Can�۪t be done. We�۪ve honored the traditions of the great British Pale brewers of Burton-on-Trent using our patented Firestone Union oak barrels. You�۪re left with a mild blend of vanilla and toasted oak flavor touched with an elegant hint of English noble hops. DBA is the flagship of our company and wildly popular.;0;2010-07-22 22:00:00+02:00;American-Style Amber/Red Ale;North American Ale;Firestone Walker Brewing Company;1400 Ramada Drive;Paso Robles;California;United States;35.5953; -120.694;http://www.firestonewalker.com/;;;;;;;;;;
Island Pale Ale (IPA);1239;404;3;31;7;0;0;0;;Our Islander IPA is a powerful West Coast IPA. This beer bites back with an intense hoppy zing and high alcohol content. The Islander IPA is dry hopped with tons of Centennial & Chinook hops and its fruity aroma will win your approval.;0;2010-07-22 22:00:00+02:00;American-Style India Pale Ale;North American Ale;Coronado Brewing Company;170 Orange Avenue;Coronado;California;United States;32.6976; -117.173;http://www.coronadobrewingcompany.com/;;;;;;;;;;
Buzzsaw Brown;124;441;3;38;4;800000191;0;0;0;;By 1915; Bend; Oregon; was alive with the sound of the buzz saw; as two of the country's largest pine sawmills set up shop on the banks of the Deschutes River.  The mills are  gone now; but the smokestacks still stand testament to Bend's humble beginnings.    Buzzsaw Brown is an easy-drinking beer that is refreshing after a hard day�۪s work. The timber mills in Bend may be closed; but whether your adventure includes a day of scaling rock faces; hitting 18 holes or skiing the slopes in spring; Buzzsaw Brown is the perfect end to a fun-filled day.   ���Buzzsaw Brown is one of my favorite beers;�۝ says Deschutes Brewery Brewmaster Larry Sidor. ���The unique combination of European and American malts makes it a very food friendly beer that pairs well with a wide variety of flavors.�۝;0;2010-07-22 22:00:00+02:00;American-Style Brown Ale;North American Ale;Deschutes Brewery;901 SW Simpson Avenue;Bend;Oregon;United States;44.0474; -121.323;http://www.deschutesbrewery.com/
Point Loma Porter;1240;404;2;25;0;0;0;0;;A robust porter; very dark in color and a roasted malt flavor from chocolate malts. Its slight bitterness is rightfully balanced with a sweet smooth finish. A full-bodied beer with medium hop bitterness and aroma.;0;2010-07-22 22:00:00+02:00;Porter;Irish Ale;Coronado Brewing Company;170 Orange Avenue;Coronado;California;United States;32.6976; -117.173;http://www.coronadobrewingcompany.com/;;;;;;;;;
Uptown Brown;1241;404;3;38;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Brown Ale;North American Ale;Coronado Brewing Company;170 Orange Avenue;Coronado;California;United States;32.6976; -117.173;http://www.coronadobrewingcompany.com/;;;;;;;;;;
Mermaid Red;1242;404;3;33;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Amber/Red Ale;North American Ale;Coronado Brewing Company;170 Orange Avenue;Coronado;California;United States;32.6976; -117.173;http://www.coronadobrewingcompany.com/;;;;;;;;;;
Four Brothers Pale Ale;1243;404;3;26;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Coronado Brewing Company;170 Orange Avenue;Coronado;California;United States;32.6976; -117.173;http://www.coronadobrewingcompany.com/;;;;;;;;;;
Coronado Golden Ale;1244;404;7;77;0;0;0;0;;This golden colored ale is smooth; light in flavor; crisp and very similar to a European-style pilsner. Our Golden ale is delicately hopped with traditional pilsner style Czech Saaz hops. It is one of our most popular beers and considered our gateway beer.;0;2010-07-22 22:00:00+02:00;German-Style Pilsener;German Lager;Coronado Brewing Company;170 Orange Avenue;Coronado;California;United States;32.6976; -117.173;http://www.coronadobrewingcompany.com/;;;;;;;;
Old Guardian Barley Wine 2003;1245;1204;-1;-1;9;909999847;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Stone Brewing Co.;1999 Citracado Parkway;Escondido;California;United States;33.1157; -117.12;http://www.stonebrew.com/;;;;;;;;;
Dorado Double IPA;1246;68;3;32;9;600000382;0;0;0;;;0;2010-07-22 22:00:00+02:00;Imperial or Double India Pale Ale;North American Ale;Ballast Point Brewing;5401 Linda Vista Road #406;San Diego;California;United States;32.7668; -117.195;http://www.ballastpoint.com/;;;;;;;;;
Old 395 Barleywine;1247;1100;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;San Diego Brewing;10450-L Friars Road;San Diego;California;United States;32.7922; -117.099;;;;;;;;;;;
Mission Gorge Porter;1248;1100;2;25;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;Porter;Irish Ale;San Diego Brewing;10450-L Friars Road;San Diego;California;United States;32.7922; -117.099;;;;;;;;;;;
Grantville Gold;1249;1100;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;San Diego Brewing;10450-L Friars Road;San Diego;California;United States;32.7922; -117.099;;;;;;;;;;;
Eisenbahn South American Pale Ale (S.A.P.A.);125;369;3;26;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Cervejaria Sudbrack;Rua Bahia;5181;Blumenau;Santa Catarina;Brazil;-26.8914; -49.1223;http://www.eisenbahn.com.br/;;;;;;;;;
Old Town Nut Brown;1250;1100;3;38;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Brown Ale;North American Ale;San Diego Brewing;10450-L Friars Road;San Diego;California;United States;32.7922; -117.099;;;;;;;;;;;
Amber;1251;1100;3;33;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Amber/Red Ale;North American Ale;San Diego Brewing;10450-L Friars Road;San Diego;California;United States;32.7922; -117.099;;;;;;;;;;;
Friars IPA;1252;1100;3;31;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style India Pale Ale;North American Ale;San Diego Brewing;10450-L Friars Road;San Diego;California;United States;32.7922; -117.099;;;;;;;;;;;
Levitation Ale;1253;1204;3;33;4;400000095;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Amber/Red Ale;North American Ale;Stone Brewing Co.;1999 Citracado Parkway;Escondido;California;United States;33.1157; -117.12;http://www.stonebrew.com/;;;;;;;;;
Imperial Stout 2003;1254;1204;3;42;9;399999619;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Stout;North American Ale;Stone Brewing Co.;1999 Citracado Parkway;Escondido;California;United States;33.1157; -117.12;http://www.stonebrew.com/;;;;;;;;;
Lil Devil;1255;21;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;AleSmith Brewing;9368 Cabot Drive;San Diego;California;United States;32.892; -117.144;http://alesmith.com/;;;;;;;;;;
Pure Hoppiness;1256;29;3;32;8;0;0;0;;A West Coast Double IPA  So mega-hopped it will take you to hop heaven. We�۪ve used hops in the boil; more hops in the giant hopback; and added to that; an incredible amount of dry-hopping for that cutting-edge ���hop bite.�۝ Once you�۪ve tasted this unique beer; all others pale in comparison. 1.072 OG Classified IBU 8%ABV;0;2010-07-22 22:00:00+02:00;Imperial or Double India Pale Ale;North American Ale;Alpine Beer Company;2351 Alpine Boulevard;Alpine;California;United States;32.8355; -116.765;http://www.alpinebeerco.com/;;;;;;
Smoked Porter;1257;1204;2;25;5;900000095;0;0;0;;"Stone Smoked Porter is dark, rich and complicated. A porter is substantially darker than a pale ale, but not as black or opaque as a stout. Our Smoked porter has a captivatingly deep mahogany color, complimented by silky dark tan head. Rich, full bodied and robust. Smooth, with chocolate and coffee-like flavors balanced by the subtle ""smoky"" character of just the right amount of peat-smoked specialty malt.";0;2010-07-22 22:00:00+02:00;Porter;Irish Ale;Stone Brewing Co.;1999 Citracado Parkway;Escondido;California;United States;33.1157; -117.12;http://www.stonebrew.com/;;;;;;;;;
Stone Pale Ale;1258;1204;3;26;5;400000095;0;0;0;;Our flagship ale; Stone Pale Ale is our Southern California interpretation of the classic British pale ale style. Deep amber in color; Stone Pale Ale is robust and full flavored. A delicate hop aroma is complemented by a rich maltiness. This is an ale for those who have learned to appreciate distinctive flavor. Stone Pale Ale is great by itself; or with food that requires a beer of character.;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Stone Brewing Co.;1999 Citracado Parkway;Escondido;California;United States;33.1157; -117.12;http://www.stonebrew.com/;;;;;;
Winter Wheat;1259;1101;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;San Marcos Brewery & Grill;1080 West San Marcos Boulevard;San Marcos;California;United States;33.1345; -117.191;;;;;;;;;;;
Geist Bock;126;584;7;90;6;99999905;0;0;0;;This is one of our rare lagers brewed in the style of the German Heiliges Geist Bock; or Holy Ghost Bock. The name refers to the lighter nature of the beer as opposed to the darker and heavier Doppel Bock and Mai Bock also brewed during the spring in Germany. There is a rich malt flavor; a firm German style lager head; and a clean lagered finish to this beer.  Available on draft or in 12 oz. bottles.;0;2010-07-22 22:00:00+02:00;Traditional German-Style Bock;German Lager;Golden Valley Brewery and Pub;980 NE Fourth Street;McMinnville;Oregon;United States;45.2104; -123.189;http://www.goldenvalleybrewery.com/;;;;;;
Oatmeal Stout;1260;1101;3;42;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Stout;North American Ale;San Marcos Brewery & Grill;1080 West San Marcos Boulevard;San Marcos;California;United States;33.1345; -117.191;;;;;;;;;;;
Pale Ale;1261;1101;3;26;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;San Marcos Brewery & Grill;1080 West San Marcos Boulevard;San Marcos;California;United States;33.1345; -117.191;;;;;;;;;;;
Amber Ale;1262;1101;3;33;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Amber/Red Ale;North American Ale;San Marcos Brewery & Grill;1080 West San Marcos Boulevard;San Marcos;California;United States;33.1345; -117.191;;;;;;;;;;;
